activity_type
skiing
scuba-diving
sky-diving
paragaliding
parasailing
jet-skiing
water-sports
river-rafting
shopping
cruises
bungee-jumping
go-karting
horse-riding
city-tour
safari
trekking
hiking
shooting
mountain-climbing
swimming
archery
photography-tour
sailing
surfing
kayaking
road-trips
surfing
wind-surfing
cycling
camel-safaris
elephant-safaris
flying-fox
hot-air-ballooning
giant-swing
cable-car-ride
snorkelling
zip-lining
bridge-climbing
sand-boarding
rappelling
caving
rock-climbing
gliding
canoeing
glacier-climbing
deep-sea-fishing
cultural-tours
historical-tours
heritage-tours
art-tours
music-tours
sightseeing
night-tours
guided-city-tours
bike-tours
wine-tasting-tours
boat-rides
wildlife-safari
jeep-safari
helicopter-rides
dancing
singing
movies
beach-hopping
road-trips
rafting
angling
hiking
climbing
tours
glamping
