types
hill-stations
restaurants
islands
beaches
mosques
monuments
churches
temples
bars
pubs
waterfalls
dhabas
museums
national-parks
amusements-parks
water-parks
parks
valleys
bridges
cafes
castles
tea-estates
landscapes
mountains
forests
domes
vineyards
heritage sites
archaeological-sites
lakes
rivers
shacks
streets
bakeries
palaces
forts
caves
deserts
meadows
snowfall
cities
towns
villages
shopping-markets
shops
sea-aquariums
art-galleries
casinos
nightclubs
shopping-malls
zoo
sunset-points
gardens
shops
antique-stores
clubs
monestries
hot-springs
food-points
night-markets
pyramids
dams
wedding-venues
rooftop-bars
tea-plantations
hotels
resorts
cottages
homestays
villas
holiday-homes
stays
hostels
suites
treehouses
tree-houses
camps
huts
houseboats
boathouses
infinity-pools
stays
farmstays
motels
lodges
spas
cruises
markets
biological-parks
lighthouse
monasteries
tiger-reserves
casinos
